Location Key,City,Postal Code,State,Region
544,"Seattle","98103","Washington","West"
545,"Seattle","98105","Washington","West"
546,"Seattle","98115","Washington","West"
549,"Sierra Vista","85635","Arizona","West"
556,"Sparks","89431","Nevada","West"
557,"Spokane","99207","Washington","West"
560,"Springfield","97477","Oregon","West"
574,"Tempe","85281","Arizona","West"
579,"Thornton","80229","Colorado","West"
581,"Tigard","97224","Oregon","West"
588,"Tucson","85705","Arizona","West"
591,"Twin Falls","83301","Idaho","West"
597,"Vancouver","98661","Washington","West"
612,"West Jordan","84084","Utah","West"
632,"Yuma","85364","Arizona","West"
3,"Akron","44312","Ohio","East"
7,"Allentown","18103","Pennsylvania","East"
8,"Altoona","16602","Pennsylvania","East"
11,"Andover","1810","Massachusetts","East"
25,"Atlantic City","8401","New Jersey","East"
27,"Auburn","13021","New York","East"
34,"Baltimore","21215","Maryland","East"
35,"Bangor","4401","Maine","East"
37,"Bayonne","7002","New Jersey","East"
41,"Belleville","7109","New Jersey","East"
44,"Bethlehem","18018","Pennsylvania","East"
45,"Beverly","1915","Massachusetts","East"
53,"Bowling Green","43402","Ohio","East"
58,"Bridgeton","8302","New Jersey","East"
60,"Bristol","6010","Connecticut","East"
65,"Buffalo","14215","New York","East"
71,"Burlington","5408","Vermont","East"
74,"Cambridge","2138","Massachusetts","East"
89,"Chester","19013","Pennsylvania","East"
96,"Cincinnati","45231","Ohio","East"
99,"Cleveland","44105","Ohio","East"
100,"Clifton","7011","New Jersey","East"
101,"Clinton","20735","Maryland","East"
107,"Columbia","21044","Maryland","East"
112,"Columbus","43229","Ohio","East"
116,"Concord","3301","New Hampshire","East"
127,"Cranston","2920","Rhode Island","East"
128,"Cuyahoga Falls","44221","Ohio","East"
132,"Danbury","6810","Connecticut","East"
151,"Dover","3820","New Hampshire","East"
152,"Dover","19901","Delaware","East"
155,"Dublin","43017","Ohio","East"
159,"East Orange","7017","New Jersey","East"
169,"Elyria","44035","Ohio","East"
175,"Everett","2149","Massachusetts","East"
177,"Fairfield","6824","Connecticut","East"
178,"Fairfield","45014","Ohio","East"
191,"Franklin","2038","Massachusetts","East"
194,"Freeport","11520","New York","East"
199,"Gaithersburg","20877","Maryland","East"
220,"Grove City","43123","Ohio","East"
222,"Hackensack","7601","New Jersey","East"
223,"Hagerstown","21740","Maryland","East"
225,"Hamilton","45011","Ohio","East"
231,"Hempstead","11550","New York","East"
242,"Holyoke","1040","Massachusetts","East"
263,"Jamestown","14701","New York","East"
272,"Kent","44240","Ohio","East"
289,"Lakewood","8701","New Jersey","East"
290,"Lakewood","44107","Ohio","East"
292,"Lancaster","43130","Ohio","East"
293,"Lancaster","17602","Pennsylvania","East"
299,"Laurel","20707","Maryland","East"
301,"Lawrence","1841","Massachusetts","East"
307,"Leominster","1453","Massachusetts","East"
308,"Lewiston","4240","Maine","East"
311,"Linden","7036","New Jersey","East"
312,"Lindenhurst","11757","New York","East"
318,"Long Beach","11561","New York","East"
321,"Lorain","44052","Ohio","East"
331,"Lowell","1852","Massachusetts","East"
335,"Malden","2148","Massachusetts","East"
336,"Manchester","6040","Connecticut","East"
343,"Marion","43302","Ohio","East"
345,"Marlborough","1752","Massachusetts","East"
347,"Mason","45040","Ohio","East"
350,"Medina","44256","Ohio","East"
353,"Mentor","44060","Ohio","East"
354,"Meriden","6450","Connecticut","East"
361,"Middletown","6457","Connecticut","East"
363,"Milford","6460","Connecticut","East"
380,"Morristown","7960","New Jersey","East"
383,"Mount Vernon","10550","New York","East"
390,"Nashua","3060","New Hampshire","East"
393,"New Bedford","2740","Massachusetts","East"
394,"New Brunswick","8901","New Jersey","East"
396,"New Rochelle","10801","New York","East"
397,"New York City","10009","New York","East"
398,"New York City","10035","New York","East"
399,"New York City","10011","New York","East"
400,"New York City","10024","New York","East"
401,"Newark","19711","Delaware","East"
402,"Newark","43055","Ohio","East"
404,"Niagara Falls","14304","New York","East"
412,"Norwich","6360","Connecticut","East"
416,"Oceanside","11572","New York","East"
424,"Orange","7050","New Jersey","East"
437,"Parma","44134","Ohio","East"
441,"Passaic","7055","New Jersey","East"
442,"Paterson","7501","New Jersey","East"
448,"Perth Amboy","8861","New Jersey","East"
450,"Philadelphia","19143","Pennsylvania","East"
451,"Philadelphia","19120","Pennsylvania","East"
452,"Philadelphia","19134","Pennsylvania","East"
453,"Philadelphia","19140","Pennsylvania","East"
457,"Plainfield","7060","New Jersey","East"
469,"Providence","2908","Rhode Island","East"
473,"Quincy","2169","Massachusetts","East"
477,"Reading","19601","Pennsylvania","East"
486,"Revere","2151","Massachusetts","East"
494,"Rochester","14609","New York","East"
498,"Rockville","20852","Maryland","East"
500,"Rome","13440","New York","East"
548,"Shelton","6484","Connecticut","East"
562,"Springfield","45503","Ohio","East"
583,"Toledo","43615","Ohio","East"
586,"Troy","45373","Ohio","East"
587,"Troy","12180","New York","East"
594,"Utica","13501","New York","East"
598,"Vineland","8360","New Jersey","East"
603,"Warwick","2886","Rhode Island","East"
604,"Washington","20016","District of Columbia","East"
605,"Waterbury","6708","Connecticut","East"
607,"Watertown","13601","New York","East"
614,"Westfield","7090","New Jersey","East"
617,"Wheeling","26003","West Virginia","East"
621,"Wilmington","19805","Delaware","East"
628,"Woonsocket","2895","Rhode Island","East"
629,"Yonkers","10701","New York","East"
630,"York","17403","Pennsylvania","East"
5,"Alexandria","22304","Virginia","South"
14,"Apopka","32712","Florida","South"
19,"Arlington","22204","Virginia","South"
22,"Asheville","28806","North Carolina","South"
23,"Athens","30605","Georgia","South"
24,"Atlanta","30318","Georgia","South"
26,"Auburn","36830","Alabama","South"
36,"Bartlett","38134","Tennessee","South"
49,"Boca Raton","33433","Florida","South"
52,"Bossier City","71111","Louisiana","South"
54,"Bowling Green","42104","Kentucky","South"
55,"Boynton Beach","33437","Florida","South"
59,"Bristol","37620","Tennessee","South"
70,"Burlington","27217","North Carolina","South"
79,"Cary","27511","North Carolina","South"
84,"Chapel Hill","27514","North Carolina","South"
85,"Charlotte","28205","North Carolina","South"
86,"Charlottesville","22901","Virginia","South"
87,"Chattanooga","37421","Tennessee","South"
88,"Chesapeake","23320","Virginia","South"
98,"Clarksville","37042","Tennessee","South"
106,"Columbia","38401","Tennessee","South"
109,"Columbia","29203","South Carolina","South"
111,"Columbus","31907","Georgia","South"
114,"Concord","28027","North Carolina","South"
118,"Conway","72032","Arkansas","South"
121,"Coral Gables","33134","Florida","South"
122,"Coral Springs","33065","Florida","South"
136,"Daytona Beach","32114","Florida","South"
140,"Decatur","35601","Alabama","South"
142,"Delray Beach","33445","Florida","South"
143,"Deltona","32725","Florida","South"
157,"Durham","27707","North Carolina","South"
160,"East Point","30344","Georgia","South"
182,"Fayetteville","28314","North Carolina","South"
183,"Fayetteville","72701","Arkansas","South"
184,"Florence","35630","Alabama","South"
185,"Florence","41042","Kentucky","South"
186,"Florence","29501","South Carolina","South"
188,"Fort Lauderdale","33311","Florida","South"
193,"Franklin","37064","Tennessee","South"
202,"Gastonia","28052","North Carolina","South"
203,"Georgetown","40324","Kentucky","South"
208,"Goldsboro","27534","North Carolina","South"
216,"Greensboro","27405","North Carolina","South"
217,"Greenville","27834","North Carolina","South"
221,"Gulfport","39503","Mississippi","South"
226,"Hampton","23666","Virginia","South"
228,"Harrisonburg","22801","Virginia","South"
229,"Hattiesburg","39401","Mississippi","South"
233,"Henderson","42420","Kentucky","South"
234,"Hendersonville","37075","Tennessee","South"
236,"Hialeah","33012","Florida","South"
237,"Hickory","28601","North Carolina","South"
241,"Hollywood","33021","Florida","South"
243,"Homestead","33030","Florida","South"
244,"Hoover","35244","Alabama","South"
245,"Hot Springs","71901","Arkansas","South"
251,"Huntsville","35810","Alabama","South"
258,"Jackson","39212","Mississippi","South"
259,"Jackson","38301","Tennessee","South"
261,"Jacksonville","32216","Florida","South"
262,"Jacksonville","28540","North Carolina","South"
265,"Johnson City","37604","Tennessee","South"
266,"Jonesboro","72401","Arkansas","South"
267,"Jupiter","33458","Florida","South"
269,"Kenner","70065","Louisiana","South"
274,"Kissimmee","34741","Florida","South"
275,"Knoxville","37918","Tennessee","South"
282,"Lafayette","70506","Louisiana","South"
284,"Lake Charles","70601","Louisiana","South"
287,"Lakeland","33801","Florida","South"
305,"Lebanon","37087","Tennessee","South"
313,"Little Rock","72209","Arkansas","South"
328,"Louisville","40214","Kentucky","South"
333,"Macon","31204","Georgia","South"
341,"Margate","33063","Florida","South"
342,"Marietta","30062","Georgia","South"
351,"Melbourne","32935","Florida","South"
352,"Memphis","38109","Tennessee","South"
358,"Miami","33180","Florida","South"
359,"Miami","33178","Florida","South"
360,"Miami","33142","Florida","South"
366,"Miramar","33023","Florida","South"
371,"Mobile","36608","Alabama","South"
373,"Monroe","71203","Louisiana","South"
374,"Monroe","28110","North Carolina","South"
376,"Montgomery","36116","Alabama","South"
381,"Mount Pleasant","29464","South Carolina","South"
384,"Murfreesboro","37130","Tennessee","South"
385,"Murray","42071","Kentucky","South"
391,"Nashville","37211","Tennessee","South"
403,"Newport News","23602","Virginia","South"
409,"North Charleston","29406","South Carolina","South"
411,"North Miami","33161","Florida","South"
427,"Orlando","32839","Florida","South"
428,"Ormond Beach","32174","Florida","South"
431,"Owensboro","42301","Kentucky","South"
434,"Palm Coast","32137","Florida","South"
444,"Pembroke Pines","33024","Florida","South"
445,"Pensacola","32503","Florida","South"
456,"Pine Bluff","71603","Arkansas","South"
459,"Plantation","33317","Florida","South"
463,"Pompano Beach","33068","Florida","South"
465,"Port Orange","32127","Florida","South"
466,"Port Saint Lucie","34952","Florida","South"
474,"Raleigh","27604","North Carolina","South"
488,"Richmond","40475","Kentucky","South"
490,"Richmond","23223","Virginia","South"
496,"Rock Hill","29730","South Carolina","South"
499,"Rogers","72756","Arkansas","South"
505,"Roswell","30076","Georgia","South"
516,"Saint Petersburg","33710","Florida","South"
517,"Salem","24153","Virginia","South"
536,"Sandy Springs","30328","Georgia","South"
537,"Sanford","32771","Florida","South"
552,"Smyrna","37167","Tennessee","South"
553,"Smyrna","30080","Georgia","South"
555,"Southaven","38671","Mississippi","South"
558,"Springdale","72762","Arkansas","South"
559,"Springfield","22153","Virginia","South"
565,"Suffolk","23434","Virginia","South"
566,"Summerville","29483","South Carolina","South"
569,"Tallahassee","32303","Florida","South"
570,"Tamarac","33319","Florida","South"
571,"Tampa","33614","Florida","South"
575,"Texarkana","71854","Arkansas","South"
578,"Thomasville","27360","North Carolina","South"
590,"Tuscaloosa","35401","Alabama","South"
599,"Virginia Beach","23464","Virginia","South"
602,"Warner Robins","31088","Georgia","South"
610,"Waynesboro","22980","Virginia","South"
613,"West Palm Beach","33407","Florida","South"
622,"Wilmington","28403","North Carolina","South"
623,"Wilson","27893","North Carolina","South"
627,"Woodstock","30188","Georgia","South"
1,"Aberdeen","57401","South Dakota","Central"
2,"Abilene","79605","Texas","Central"
6,"Allen","75002","Texas","Central"
9,"Amarillo","79109","Texas","Central"
12,"Ann Arbor","48104","Michigan","Central"
15,"Apple Valley","55124","Minnesota","Central"
17,"Appleton","54915","Wisconsin","Central"
18,"Arlington","76017","Texas","Central"
20,"Arlington Heights","60004","Illinois","Central"
29,"Aurora","60505","Illinois","Central"
31,"Austin","78745","Texas","Central"
38,"Baytown","77520","Texas","Central"
39,"Beaumont","77705","Texas","Central"
40,"Bedford","76021","Texas","Central"
47,"Bloomington","61701","Illinois","Central"
48,"Bloomington","47401","Indiana","Central"
51,"Bolingbrook","60440","Illinois","Central"
61,"Broken Arrow","74012","Oklahoma","Central"
63,"Brownsville","78521","Texas","Central"
64,"Bryan","77803","Texas","Central"
66,"Buffalo Grove","60089","Illinois","Central"
69,"Burlington","52601","Iowa","Central"
75,"Canton","48187","Michigan","Central"
77,"Carol Stream","60188","Illinois","Central"
78,"Carrollton","75007","Texas","Central"
80,"Cedar Hill","75104","Texas","Central"
81,"Cedar Rapids","52402","Iowa","Central"
82,"Champaign","61821","Illinois","Central"
91,"Chicago","60623","Illinois","Central"
92,"Chicago","60610","Illinois","Central"
93,"Chicago","60653","Illinois","Central"
104,"College Station","77840","Texas","Central"
108,"Columbia","65203","Missouri","Central"
110,"Columbus","47201","Indiana","Central"
117,"Conroe","77301","Texas","Central"
119,"Coon Rapids","55433","Minnesota","Central"
120,"Coppell","75019","Texas","Central"
123,"Corpus Christi","78415","Texas","Central"
125,"Cottage Grove","55016","Minnesota","Central"
129,"Dallas","75220","Texas","Central"
130,"Dallas","75217","Texas","Central"
131,"Dallas","75081","Texas","Central"
134,"Danville","61832","Illinois","Central"
137,"Dearborn","48126","Michigan","Central"
138,"Dearborn Heights","48127","Michigan","Central"
139,"Decatur","62521","Illinois","Central"
141,"Deer Park","77536","Texas","Central"
145,"Des Moines","50315","Iowa","Central"
147,"Des Plaines","60016","Illinois","Central"
148,"Detroit","48227","Michigan","Central"
149,"Detroit","48205","Michigan","Central"
150,"Detroit","48234","Michigan","Central"
156,"Dubuque","52001","Iowa","Central"
158,"Eagan","55122","Minnesota","Central"
161,"Eau Claire","54703","Wisconsin","Central"
162,"Edinburg","78539","Texas","Central"
163,"Edmond","73034","Oklahoma","Central"
166,"El Paso","79907","Texas","Central"
167,"Elkhart","46514","Indiana","Central"
168,"Elmhurst","60126","Illinois","Central"
174,"Evanston","60201","Illinois","Central"
180,"Fargo","58103","North Dakota","Central"
189,"Fort Worth","76106","Texas","Central"
190,"Frankfort","60423","Illinois","Central"
192,"Franklin","53132","Wisconsin","Central"
195,"Freeport","61032","Illinois","Central"
196,"Fremont","68025","Nebraska","Central"
198,"Frisco","75034","Texas","Central"
200,"Garden City","67846","Kansas","Central"
201,"Garland","75043","Texas","Central"
205,"Gladstone","64118","Missouri","Central"
207,"Glenview","60025","Illinois","Central"
209,"Grand Island","68801","Nebraska","Central"
210,"Grand Prairie","75051","Texas","Central"
211,"Grand Rapids","49505","Michigan","Central"
212,"Grapevine","76051","Texas","Central"
215,"Green Bay","54302","Wisconsin","Central"
218,"Greenwood","46142","Indiana","Central"
224,"Haltom City","76117","Texas","Central"
227,"Harlingen","78550","Texas","Central"
238,"Highland Park","60035","Illinois","Central"
240,"Holland","49423","Michigan","Central"
246,"Houston","77036","Texas","Central"
247,"Houston","77070","Texas","Central"
248,"Houston","77095","Texas","Central"
249,"Houston","77041","Texas","Central"
252,"Huntsville","77340","Texas","Central"
253,"Independence","64055","Missouri","Central"
254,"Indianapolis","46203","Indiana","Central"
256,"Iowa City","52240","Iowa","Central"
257,"Irving","75061","Texas","Central"
260,"Jackson","49201","Michigan","Central"
264,"Jefferson City","65109","Missouri","Central"
268,"Keller","76248","Texas","Central"
270,"Kenosha","53142","Wisconsin","Central"
273,"Kirkwood","63122","Missouri","Central"
276,"La Crosse","54601","Wisconsin","Central"
278,"La Porte","77571","Texas","Central"
279,"La Porte","46350","Indiana","Central"
281,"Lafayette","47905","Indiana","Central"
288,"Lakeville","55044","Minnesota","Central"
295,"Lansing","48911","Michigan","Central"
296,"Laredo","78041","Texas","Central"
300,"Lawrence","46226","Indiana","Central"
302,"Lawton","73505","Oklahoma","Central"
304,"League City","77573","Texas","Central"
310,"Lincoln Park","48146","Michigan","Central"
332,"Lubbock","79424","Texas","Central"
334,"Madison","53711","Wisconsin","Central"
337,"Manhattan","66502","Kansas","Central"
338,"Mansfield","76063","Texas","Central"
340,"Maple Grove","55369","Minnesota","Central"
344,"Marion","52302","Iowa","Central"
348,"Mcallen","78501","Texas","Central"
357,"Mesquite","75150","Texas","Central"
362,"Midland","48640","Michigan","Central"
364,"Milwaukee","53209","Wisconsin","Central"
365,"Minneapolis","55407","Minnesota","Central"
367,"Mishawaka","46544","Indiana","Central"
370,"Missouri City","77489","Texas","Central"
377,"Moorhead","56560","Minnesota","Central"
382,"Mount Pleasant","48858","Michigan","Central"
388,"Muskogee","74403","Oklahoma","Central"
389,"Naperville","60540","Illinois","Central"
392,"New Albany","47150","Indiana","Central"
395,"New Castle","47362","Indiana","Central"
405,"Noblesville","46060","Indiana","Central"
406,"Norfolk","68701","Nebraska","Central"
407,"Normal","61761","Illinois","Central"
408,"Norman","73071","Oklahoma","Central"
413,"Oak Park","48237","Michigan","Central"
414,"Oak Park","60302","Illinois","Central"
418,"Odessa","79762","Texas","Central"
419,"Oklahoma City","73120","Oklahoma","Central"
420,"Olathe","66062","Kansas","Central"
422,"Omaha","68104","Nebraska","Central"
426,"Orland Park","60462","Illinois","Central"
429,"Oswego","60543","Illinois","Central"
430,"Overland Park","66212","Kansas","Central"
433,"Palatine","60067","Illinois","Central"
435,"Park Ridge","60068","Illinois","Central"
438,"Pasadena","77506","Texas","Central"
443,"Pearland","77581","Texas","Central"
446,"Peoria","61604","Illinois","Central"
449,"Pharr","78577","Texas","Central"
458,"Plano","75023","Texas","Central"
464,"Port Arthur","77642","Texas","Central"
467,"Portage","46368","Indiana","Central"
472,"Quincy","62301","Illinois","Central"
476,"Rapid City","57701","South Dakota","Central"
487,"Richardson","75080","Texas","Central"
489,"Richmond","47374","Indiana","Central"
493,"Rochester","55901","Minnesota","Central"
495,"Rochester Hills","48307","Michigan","Central"
497,"Rockford","61107","Illinois","Central"
501,"Romeoville","60441","Illinois","Central"
502,"Roseville","55113","Minnesota","Central"
504,"Roseville","48066","Michigan","Central"
506,"Round Rock","78664","Texas","Central"
507,"Royal Oak","48073","Michigan","Central"
509,"Saginaw","48601","Michigan","Central"
510,"Saint Charles","63301","Missouri","Central"
511,"Saint Charles","60174","Illinois","Central"
512,"Saint Cloud","56301","Minnesota","Central"
513,"Saint Louis","63116","Missouri","Central"
514,"Saint Paul","55106","Minnesota","Central"
515,"Saint Peters","63376","Missouri","Central"
521,"San Angelo","76903","Texas","Central"
522,"San Antonio","78207","Texas","Central"
534,"San Marcos","78666","Texas","Central"
547,"Sheboygan","53081","Wisconsin","Central"
550,"Sioux Falls","57103","South Dakota","Central"
551,"Skokie","60076","Illinois","Central"
554,"South Bend","46614","Indiana","Central"
561,"Springfield","65807","Missouri","Central"
563,"Sterling Heights","48310","Michigan","Central"
568,"Superior","54880","Wisconsin","Central"
572,"Taylor","48180","Michigan","Central"
576,"Texas City","77590","Texas","Central"
577,"The Colony","75056","Texas","Central"
582,"Tinley Park","60477","Illinois","Central"
585,"Trenton","48183","Michigan","Central"
589,"Tulsa","74133","Oklahoma","Central"
592,"Tyler","75701","Texas","Central"
593,"Urbandale","50322","Iowa","Central"
601,"Waco","76706","Texas","Central"
606,"Waterloo","50701","Iowa","Central"
608,"Waukesha","53186","Wisconsin","Central"
609,"Wausau","54401","Wisconsin","Central"
611,"West Allis","53214","Wisconsin","Central"
615,"Westland","48185","Michigan","Central"
618,"Wheeling","60090","Illinois","Central"
620,"Wichita","67212","Kansas","Central"
624,"Woodbury","55125","Minnesota","Central"
626,"Woodstock","60098","Illinois","Central"
