"Product Name","Category","Sub-Category","total_sales","total_profit","profit_margin","total_quantity"
"Global Troy Executive Leather Low-Back Tilter","Furniture","Chairs","25950.7640000000020","1903.723999999999624","0.0734","64"
"Canon PC1060 Personal Laser Copier","Technology","Copiers","23239.6680000000024","9141.86939999999930","0.3934","38"
"SAFCO Arco Folding Chair","Furniture","Chairs","23145.55999999999856","2358.7479999999980814","0.1019","106"
"Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room","Office Supplies","Appliances","22608.87999999999878","6494.03999999999892","0.2872","80"
"Cubify CubeX 3D Printer Double Head Print","Technology","Machines","22199.9260000000004","-17759.94080000000356","-0.8000","18"
"DMI Eclipse Executive Suite Bookcases","Furniture","Bookcases","22093.21800000000210","180.3527999999985802","0.0082","54"
"Tennsco 6- and 18-Compartment Lockers","Office Supplies","Storage","21850.00800000000116","3150.219599999998272","0.1442","86"
"Plantronics CS510 - Over-the-Head monaural Wireless Headset System","Technology","Accessories","21644.71999999999936","6170.064999999997868","0.2851","70"
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","Furniture","Chairs","21275.05599999999910","3854.883999999999196","0.1812","102"
"Logitech P710e Mobile Speakerphone","Technology","Accessories","20393.20800000000048","3290.7221999999979522","0.1614","82"
"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases","Furniture","Tables","19835.280","-5752.23120000000080","-0.2900","54"
"Tennsco Double-Tier Lockers","Office Supplies","Storage","19261.71200000000068","859.576399999999932","0.0446","94"
"Bush Advantage Collection Racetrack Conference Table","Furniture","Tables","19089.44999999999906","-3868.7951999999998","-0.2027","66"
"Plantronics Savi W720 Multi-Device Wireless Headset System","Technology","Accessories","18734.5800000000004","7392.56400000000054","0.3946","48"
"Bady BDG101FRU Card Printer","Technology","Machines","18559.768","2655.96679999999816","0.1431","28"
"Tennsco Single-Tier Lockers","Office Supplies","Storage","18316.592","-1651.496000000000320","-0.0902","56"
"KI Adjustable-Height Table","Furniture","Tables","18210.56400000000076","-993.9287999999999152","-0.0546","296"
"GuestStacker Chair with Chrome Finish Legs","Furniture","Chairs","18141.88799999999976","1546.521600000000692","0.0852","62"
"Canon Imageclass D680 Copier / Fax","Technology","Copiers","17919.74400000000104","5599.91999999999944","0.3125","32"
"Hewlett Packard 610 Color Digital Copier / Printer","Technology","Copiers","17799.644","6249.874999999999704","0.3511","42"
"Wilson Electronics DB Pro Signal Booster","Technology","Phones","17756.80000000000060","1031.040000000001086","0.0581","64"
"Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat","Furniture","Chairs","17549.00000000000158","2611.291200000000734","0.1488","56"
"Global Deluxe High-Back Manager's Chair","Furniture","Chairs","17330.38800000000060","3117.1819999999981546","0.1799","70"
"Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs","Furniture","Chairs","16861.99400000000098","2777.2695999999995716","0.1647","68"
"Chromcraft Round Conference Tables","Furniture","Tables","16418.11799999999908","-379.9522000000000292","-0.0231","122"
"Hot File 7-Pocket, Floor Stand","Office Supplies","Storage","16276.46400000000012","4033.42199999999808","0.2478","98"
"Fellowes PB300 Plastic Comb Binding Machine","Office Supplies","Binders","16140.38400000000152","5036.11019999999934","0.3120","54"
"Cubify CubeX 3D Printer Triple Head Print","Technology","Machines","15999.96","-7679.9807999999976","-0.4800","8"
"Ibico Ibimaster 300 Manual Binding System","Office Supplies","Binders","15970.76600000000026","4636.67399999999936","0.2903","56"
"Global Commerce Series High-Back Swivel/Tilt Chairs","Furniture","Chairs","15958.88000000000022","1852.370000000000154","0.1161","66"
"Okidata MB760 Printer","Technology","Machines","15668.8000000000008","1762.73999999999842","0.1125","14"
"Adjustable Depth Letter/Legal Cart","Office Supplies","Storage","15460.392","3865.097999999997698","0.2500","90"
"Ativa V4110MDD Micro-Cut Shredder","Technology","Machines","15399.78","7545.8921999999994","0.4900","22"
"Mitel MiVoice 5330e IP Phone","Technology","Phones","15399.44000000000038","1561.943199999999488","0.1014","68"
"Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms","Furniture","Chairs","15164.74800000000038","1665.986399999998138","0.1099","48"
"Staples","Office Supplies","Fasteners","15109.4000000000006300","5844.09199999999948540","0.3868","4300"
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","Furniture","Bookcases","15079.42440000000030","1560.660400000000634","0.1035","70"
"Tennsco 16-Compartment Lockers with Coat Rack","Office Supplies","Storage","15031.0480000000002","2228.741600000000290","0.1483","26"
"Hon 94000 Series Round Tables","Furniture","Tables","14809.00000000000062","-1362.427999999999618","-0.0920","60"
"Logitech diNovo Edge Keyboard","Technology","Accessories","14799.4080000000004","2864.885400000000472","0.1936","62"
"Bretford CR4500 Series Slim Rectangular Table","Furniture","Tables","14485.53599999999866","-1065.522599999999696","-0.0736","58"
"Samsung Galaxy S III - 16GB - pebble blue (T-Mobile)","Technology","Phones","14279.592","167.995200000000664","0.0118","56"
"Zebra ZM400 Thermal Label Printer","Technology","Machines","13931.4","6687.072","0.4800","12"
"Bevis Oval Conference Table, Walnut","Furniture","Tables","13884.13600000000030","-1712.028800000002134","-0.1233","72"
"Hon GuestStacker Chair","Furniture","Chairs","13872.20399999999972","2466.169600000000174","0.1778","68"
"Hoover Upright Vacuum With Dirt Cup","Office Supplies","Appliances","13665.81599999999900","920.70539999999762","0.0674","62"
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units","Office Supplies","Storage","13638.62400000000014","363.323999999999438","0.0266","50"
"GBC DocuBind 300 Electric Binding Machine","Office Supplies","Binders","13570.28400000000122","988.84239999999938","0.0729","46"
"Bretford CR8500 Series Meeting Room Furniture","Furniture","Tables","13553.1240000000010","922.25399999999976","0.0680","42"
"Cisco Unified IP Phone 7945G VoIP phone","Technology","Phones","13503.20400000000058","204.593999999999884","0.0152","52"
"Hon Every-Day Series Multi-Task Chairs","Furniture","Chairs","13496.96399999999936","563.940000000000374","0.0418","86"
"ClearOne CHATAttach 160 - speaker phone","Technology","Phones","13391.78399999999988","2107.96599999999876","0.1574","26"
"Standard Rollaway File with Lock","Office Supplies","Storage","13189.90800000000036","2522.659999999999952","0.1913","80"
"Hon Multipurpose Stacking Arm Chairs","Furniture","Chairs","13169.2799999999992","1628.832000000000312","0.1237","72"
"Dual Level, Single-Width Filing Carts","Office Supplies","Storage","13149.088","3281.069600000000158","0.2495","86"
"Balt Solid Wood Round Tables","Furniture","Tables","13037.508","-2402.1162","-0.1842","38"
"Hon Pagoda Stacking Chairs","Furniture","Chairs","12967.59200000000090","3081.407999999999002","0.2376","44"
"Global Leather and Oak Executive Chair, Black","Furniture","Chairs","12821.74800000000066","1709.5663999999985864","0.1333","52"
"Sharp AL-1530CS Digital Copier","Technology","Copiers","12799.7439999999998","4129.9174","0.3227","34"
"Polycom VVX 310 VoIP phone","Technology","Phones","12455.30800000000066","1799.900000000000448","0.1445","80"
"Samsung Galaxy S4","Technology","Phones","12269.4040000000006","876.38599999999892","0.0714","26"
"Samsung Galaxy S4 Mini","Technology","Phones","12219.740","2208.952999999998316","0.1808","30"
"Global Comet Stacking Arm Chair","Furniture","Chairs","12168.28799999999976","1394.283000000000046","0.1146","34"
"Global Ergonomic Managers Chair","Furniture","Chairs","12017.07199999999910","1570.906400000000024","0.1307","78"
"Canon PC1080F Personal Copier","Technology","Copiers","11999.80","3947.93420000000022","0.3290","22"
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black","Furniture","Chairs","11978.40799999999880","534.606800000000276","0.0446","78"
"Hon 5100 Series Wood Tables","Furniture","Tables","11930.18000000000038","-477.207200000000866","-0.0400","52"
"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black","Office Supplies","Appliances","11813.0399999999992","3307.65119999999984","0.2800","36"
"Hon 4070 Series Pagoda Round Back Stacking Chairs","Furniture","Chairs","11812.06400000000018","2105.628800000000020","0.1783","42"
"Global Leather Executive Chair","Furniture","Chairs","11723.06600000000076","1403.959999999998786","0.1198","42"
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D","Furniture","Tables","11603.6319999999996","-133.654399999999124","-0.0115","46"
"Zebra GX420t Direct Thermal/Thermal Transfer Printer","Technology","Machines","11574.7100000000008","1019.42399999999826","0.0881","28"
"Iceberg Mobile Mega Data/Printer Cart","Office Supplies","Storage","11503.54800000000012","2777.216399999999456","0.2414","98"
"Safco Contoured Stacking Chairs","Furniture","Chairs","11395.52000000000048","1740.319999999999472","0.1527","54"
"Canon PC940 Copier","Technology","Copiers","11339.7480000000004","4184.90699999999928","0.3690","30"
"Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables","Furniture","Tables","11269.79999999999982","-1928.38800000000112","-0.1711","34"
"Logitech Z-906 Speaker sys - home theater - 5.1-CH","Technology","Accessories","11219.66","4487.86400000000012","0.4000","34"
"Deluxe Rollaway Locking File with Drawer","Office Supplies","Storage","11145.5839999999996","2761.443199999999686","0.2478","28"
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors","Furniture","Bookcases","10985.77000000000008","30.0979999999988072","0.0027","52"
"Global High-Back Leather Tilter, Burgundy","Furniture","Chairs","10872.31599999999954","-949.4828000000007158","-0.0873","108"
"Hon Olson Stacker Chairs","Furniture","Chairs","10855.97999999999974","2584.252799999999274","0.2380","44"
"Ibico Hi-Tech Manual Binding System","Office Supplies","Binders","10796.64600000000002","-609.98000000000120","-0.0565","68"
"Wilson SignalBoost 841262 DB PRO Amplifier Kit","Technology","Phones","10654.51999999999976","2087.709999999999686","0.1959","34"
"Hon Olson Stacker Stools","Furniture","Chairs","10588.91200000000034","1667.190400000000010","0.1574","88"
"GE 30524EE4","Technology","Phones","10583.46000000000144","1677.674399999999050","0.1585","64"
"Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs","Furniture","Chairs","10564.84800000000082","-1978.099200000001662","-0.1872","48"
"Lifetime Advantage Folding Chairs, 4/Carton","Furniture","Chairs","10424.22400000000050","1945.273599999999788","0.1866","54"
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors","Furniture","Bookcases","10368.16200000000046","-252.882000000001272","-0.0244","54"
"Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset","Technology","Accessories","10239.48800000000008","4311.784400000000324","0.4211","52"
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table","Furniture","Tables","10196.35199999999970","-808.01280000000014","-0.0792","44"
"Hoover Shoulder Vac Commercial Portable Vacuum","Office Supplies","Appliances","10018.95999999999998","1431.279999999999574","0.1429","32"
"Panasonic KX-TG9471B","Technology","Phones","9956.29200000000048","2336.200800000000738","0.2346","54"
"Chromcraft Rectangular Conference Tables","Furniture","Tables","9905.34600000000046","-900.4860000000013532","-0.0909","60"
"Apple iPhone 5S","Technology","Phones","9803.82799999999988","1025.98199999999892","0.1047","22"
"O'Sullivan 2-Door Barrister Bookcase in Odessa Pine","Furniture","Bookcases","9772.920","1132.934799999999130","0.1159","62"
"Brother DCP1000 Digital 3 in 1 Multifunction Machine","Technology","Copiers","9719.67600000000046","2309.922999999999816","0.2377","38"
"Fellowes Staxonsteel Drawer Files","Office Supplies","Storage","9658.49999999999994","1019.937600000000208","0.1056","52"
"Smead Adjustable Mobile File Trolley with Lockable Top","Office Supplies","Storage","9557.532","2213.323200000000610","0.2316","24"
"High-Back Leather Manager's Chair","Furniture","Chairs","9541.26600000000070","-395.169600000000078","-0.0414","84"
"SAFCO Boltless Steel Shelving","Office Supplies","Storage","9409.39200000000012","-940.9392000000005278","-0.1000","92"
"Global Executive Mid-Back Manager's Chair","Furniture","Chairs","9253.16400000000036","1501.456799999999760","0.1623","36"
"DMI Arturo Collection Mission-style Design Wood Chair","Furniture","Chairs","9239.97599999999992","972.311200000000162","0.1052","74"
"Polycom CX600 IP Phone VoIP phone","Technology","Phones","9238.46","1793.701000000000058","0.1942","34"
"Letter Size Cart","Office Supplies","Storage","9200.18400000000076","2505.764399999999108","0.2724","66"
"Bevis Round Bullnose 29"" High Table Top","Furniture","Tables","9089.84999999999974","-384.370799999999986","-0.0423","48"
"Fellowes Officeware Wire Shelving","Office Supplies","Storage","9018.93200000000034","-664.7420000000002948","-0.0737","110"
"Samsung Galaxy Note 2","Technology","Phones","9015.8039999999998","-257.59439999999882","-0.0286","28"
"Fellowes Strictly Business Drawer File, Letter/Legal Size","Office Supplies","Storage","8958.0599999999998","777.492","0.0868","66"
"Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators","Office Supplies","Appliances","8953.92000000000032","1913.900399999999592","0.2137","34"
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer","Furniture","Tables","8892.35000000000044","-2294.800000000000536","-0.2581","50"
"Nortel Meridian M3904 Professional Digital phone","Technology","Phones","8869.82400000000008","1872.518399999998972","0.2111","64"
"Global Commerce Series Low-Back Swivel/Tilt Chairs","Furniture","Chairs","8840.112","82.2335999999984616","0.0093","48"
"Sharp 1540cs Digital Laser Copier","Technology","Copiers","8799.83999999999988","3299.93999999999998","0.3750","20"
"Logitech G19 Programmable Gaming Keyboard","Technology","Accessories","8778.49199999999920","1458.1223999999992766","0.1661","72"
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand","Office Supplies","Storage","8768.08800000000014","-73.0673999999992236","-0.0083","66"
"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal","Furniture","Tables","8669.65500000000042","860.1390000000000878","0.0992","44"
"Bevis 36 x 72 Conference Tables","Furniture","Tables","8664.50399999999962","896.3279999999998902","0.1034","80"
"GBC DocuBind TL200 Manual Binding Machine","Office Supplies","Binders","8645.62799999999988","3184.995599999999410","0.3684","46"
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables","Furniture","Tables","8595.28800000000024","-1223.175600000000592","-0.1423","22"
"Cisco 9971 IP Video Phone Charcoal","Technology","Machines","8536.0000000000004","932.79999999999922","0.1093","32"
"Motorola L703CM","Technology","Phones","8423.46000000000058","935.939999999999942","0.1111","64"
"GBC DocuBind 200 Manual Binding Machine","Office Supplies","Binders","8419.6000000000012","2104.90000000000024","0.2500","30"
"Hewlett Packard 310 Color Digital Copier","Technology","Copiers","8399.72000000000038","1679.943999999999384","0.2000","32"
"SAFCO Commercial Wire Shelving, Black","Office Supplies","Storage","8398.91199999999984","-1270.888","-0.1513","70"
"Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms","Furniture","Chairs","8370.96000000000008","685.774799999999496","0.0819","62"
"Fellowes PB200 Plastic Comb Binding Machine","Office Supplies","Binders","8363.508000000000574","1387.118399999999714","0.1659","76"
"Cisco SPA301","Technology","Phones","8361.06400000000036","1809.483999999999818","0.2164","60"
"Global Wood Trimmed Manager's Task Chair, Khaki","Furniture","Chairs","8333.76800000000028","-1006.2388000000004286","-0.1207","118"
"Canon PC-428 Personal Copier","Technology","Copiers","8239.58800000000046","2939.852999999999878","0.3568","50"
"Wireless Extenders zBoost YX545 SOHO Signal Booster","Technology","Phones","8088.772","1466.562399999999888","0.1813","48"
"Okidata C610n Printer","Technology","Machines","8047.5999999999996","-1168.200000000001164","-0.1452","20"
"Fellowes Super Stor/Drawer Files","Office Supplies","Storage","8012.88000000000006","946.6830000000002300","0.1181","54"
"Samsung Galaxy S4 Active","Technology","Phones","7999.8400000000006","2079.95840000000056","0.2600","16"
"WD My Passport Ultra 2TB Portable External Hard Drive","Technology","Accessories","7996.8","999.600000000000450","0.1250","70"
"Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier","Technology","Machines","7983.96","3991.98","0.5000","4"
"Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back","Furniture","Chairs","7979.46799999999970","851.519199999999280","0.1067","64"
"Polycom SoundStation2 EX Conference phone","Technology","Phones","7937.02000000000030","1036.671999999999570","0.1306","24"
"Hon Racetrack Conference Tables","Furniture","Tables","7927.80199999999988","-1197.045600000000696","-0.1510","44"
"Canon Image Class D660 Copier","Technology","Copiers","7919.868","3383.94359999999968","0.4273","14"
"Global Airflow Leather Mesh Back Chair, Black","Furniture","Chairs","7911.35199999999994","1147.447999999999292","0.1450","64"
"Fellowes High-Stak Drawer Files","Office Supplies","Storage","7893.312","838.664399999999540","0.1062","52"
"Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base","Furniture","Furnishings","7722.11200000000032","579.158400000000260","0.0750","46"
"Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room","Office Supplies","Appliances","7710.3600000000002","3007.04040000000028","0.3900","28"
"Polycom SoundPoint IP 450 VoIP phone","Technology","Phones","7679.24000000000038","325.238400000000052","0.0424","44"
"Google Nexus 5","Technology","Phones","7631.57600000000006","1421.920999999999944","0.1863","46"
"Hon Non-Folding Utility Tables","Furniture","Tables","7551.29400000000036","1083.30799999999948","0.1435","58"
"Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black)","Technology","Accessories","7487.58400000000024","43.197599999999566","0.0058","44"
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black","Furniture","Tables","7478.22999999999988","1216.086000000000010","0.1626","28"
"Aastra 57i VoIP phone","Technology","Phones","7369.41600000000062","1150.663200000000204","0.1561","52"
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal","Furniture","Chairs","7361.07599999999970","-982.3500000000005768","-0.1335","70"
"Polycom VoiceStation 500 Conference phone","Technology","Phones","7314.76","678.385000000000326","0.0927","30"
"Situations Contoured Folding Chairs, 4/Set","Furniture","Chairs","7282.548000000000450","468.4680000000005064","0.0643","128"
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","Furniture","Bookcases","7252.01119999999962","-417.3007999999999390","-0.0575","68"
"Toshiba IPT2010-SD IP Telephone","Technology","Phones","7227.48000000000018","850.618799999999906","0.1177","62"
"Bush Cubix Conference Tables, Fully Assembled","Furniture","Tables","7206.57599999999948","623.646000000000274","0.0865","38"
"Pyle PMP37LED","Technology","Phones","7180.05199999999988","1153.799799999999734","0.1607","86"
"Global Adaptabilities Conference Tables","Furniture","Tables","7080.69600000000018","708.0695999999999294","0.1000","28"
"24 Capacity Maxi Data Binder Racks, Pearl","Office Supplies","Storage","7074.48000000000090","1073.804999999999440","0.1518","38"
"Global Comet Stacking Armless Chair","Furniture","Chairs","7057.58000000000018","1028.732000000000206","0.1458","28"
"Avanti 4.4 Cu. Ft. Refrigerator","Office Supplies","Appliances","7022.02399999999956","767.35519999999966","0.1093","48"
"Hon Rectangular Conference Tables","Furniture","Tables","6963.03000000000014","-591.630000000000958","-0.0850","40"
"Iceberg OfficeWorks 42"" Round Tables","Furniture","Tables","6914.88399999999966","-785.096000000000514","-0.1135","60"
"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish","Furniture","Bookcases","6895.68","413.740799999999582","0.0600","16"
"O'Sullivan Living Dimensions 5-Shelf Bookcases","Furniture","Bookcases","6841.54079999999950","-1511.503200000000730","-0.2209","42"
"Geemarc AmpliPOWER60","Technology","Phones","6830.08","768.3839999999993164","0.1125","92"
"Hewlett-Packard Desktjet 6988DT Refurbished Printer","Technology","Machines","6809.0","3336.410","0.4900","10"
"Bush Advantage Collection Round Conference Table","Furniture","Tables","6803.19999999999962","420.9479999999994670","0.0619","38"
"Fellowes Stor/Drawer Steel Plus Storage Drawers","Office Supplies","Storage","6794.61600000000010","156.505199999999420","0.0230","74"
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base","Furniture","Tables","6709.7799999999996","200.421999999999428","0.0299","36"
"Staples in misc. colors","Office Supplies","Art","6703.3680000000001750","1736.72239999999993378","0.2591","1204"
"Dot Matrix Printer Tape Reel Labels, White, 5000/Box","Office Supplies","Labels","6645.75600000000020","3035.8128","0.4568","72"
"Bush Andora Bookcase, Maple/Graphite Gray Finish","Furniture","Bookcases","6635.44699999999944","271.1773999999993230","0.0409","68"
"Tenex Antistatic Computer Chair Mats","Furniture","Furnishings","6634.024","-1060.076000000000664","-0.1598","50"
"Bevis 44 x 96 Conference Tables","Furniture","Tables","6506.44","-329.440000000000732","-0.0506","40"
"Ibico EB-19 Dual Function Manual Binding System","Office Supplies","Binders","6469.826000000000786","2172.754399999999996","0.3358","46"
"GBC ProClick 150 Presentation Binding System","Office Supplies","Binders","6445.99200000000034","-922.66159999999988","-0.1431","44"
"Okidata C331dn Printer","Technology","Machines","6421.59999999999964","223.360000000000356","0.0348","24"
"Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers","Office Supplies","Storage","6356.26000000000056","-334.54","-0.0526","40"
"Jabra SPEAK 410","Technology","Phones","6316.12799999999980","1308.340800000000018","0.2071","74"
"Global Fabric Manager's Chair, Dark Gray","Furniture","Chairs","6301.15200000000006","999.702000000000270","0.1587","70"
"Hon 2111 Invitation Series Corner Table","Furniture","Tables","6281.10000000000032","-803.980800000000508","-0.1280","36"
"Economy Rollaway Files","Office Supplies","Storage","6277.59999999999986","1387.679999999999990","0.2211","40"
"BlackBerry Q10","Technology","Phones","6198.70799999999994","1096.113000000000110","0.1768","54"
"Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System","Technology","Phones","6119.59200000000006","2294.847000000000052","0.3750","50"
"Hoover WindTunnel Plus Canister Vacuum","Office Supplies","Appliances","6102.60000000000014","1394.880000000000624","0.2286","18"
"Digium D40 VoIP phone","Technology","Phones","6088.32800000000004","1142.851399999999934","0.1877","54"
"Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer","Technology","Machines","6080","2918.4","0.4800","16"
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection","Office Supplies","Appliances","6079.000000000000066","802.427999999999202","0.1320","62"
"Space Solutions HD Industrial Steel Shelving.","Office Supplies","Storage","6070.41599999999964","48.2874000000000756","0.0080","54"
"Carina Double Wide Media Storage Towers in Natural & Black","Office Supplies","Storage","6057.30400000000006","-6.4784000000002812","-0.0011","78"
"Compact Automatic Electric Letter Opener","Office Supplies","Supplies","5965.50000000000028","-114.5375999999999016","-0.0192","52"
"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine","Furniture","Tables","5958.00800000000024","109.432800000000330","0.0184","52"
"O'Sullivan Living Dimensions 2-Shelf Bookcases","Furniture","Bookcases","5940.11800000000006","-157.2740000000000030","-0.0265","56"
"Global Manager's Adjustable Task Chair, Storm","Furniture","Chairs","5918.41599999999980","987.409199999999324","0.1668","46"
"GBC DocuBind P100 Manual Binding Machine","Office Supplies","Binders","5908.887999999999956","979.281999999999934","0.1657","54"
"O'Sullivan Plantations 2-Door Library in Landvery Oak","Furniture","Bookcases","5892.73359999999954","-1535.487199999999446","-0.2606","44"
"3.6 Cubic Foot Counter Height Office Refrigerator","Office Supplies","Appliances","5892.400000000000010","-1744.150399999999854","-0.2960","36"
"Aastra 6757i CT Wireless VoIP phone","Technology","Phones","5859.96799999999992","965.171199999999826","0.1647","32"
"Novimex Swivel Fabric Task Chair","Furniture","Chairs","5827.82799999999996","-890.782000000000066","-0.1528","50"
"ShoreTel ShorePhone IP 230 VoIP phone","Technology","Phones","5813.256","844.949999999999416","0.1453","42"
"O'Sullivan Living Dimensions 3-Shelf Bookcases","Furniture","Bookcases","5808.32199999999994","-341.666000000000466","-0.0588","34"
"Kensington 7 Outlet MasterPiece Power Center","Office Supplies","Appliances","5766.55199999999980","459.188399999999388","0.0796","42"
"Logitech Wireless Gaming Headset G930","Technology","Accessories","5759.64000000000070","1526.304600000000134","0.2650","42"
"Bose SoundLink Bluetooth Speaker","Technology","Phones","5731.20000000000006","1934.28000000000016","0.3375","36"
"Electrix Architect's Clamp-On Swing Arm Lamp, Black","Furniture","Furnishings","5727.59999999999950","1254.344399999999470","0.2190","66"
"Lesro Round Back Collection Coffee Table, End Table","Furniture","Tables","5695.56000000000016","-657.179999999999756","-0.1154","40"
"Okidata MB491 Multifunction Printer","Technology","Machines","5688.6000000000006","-868.25999999999954","-0.1526","18"
"Premier Automatic Letter Opener","Office Supplies","Supplies","5672.73200000000050","-855.7171999999996798","-0.1508","28"
"Logitech Wireless Headset h800","Technology","Accessories","5599.4400000000002","1439.855999999999830","0.2571","64"
"Xerox 1915","Office Supplies","Paper","5578.01999999999954","2524.787999999999692","0.4526","56"
"Electrix Halogen Magnifier Lamp","Furniture","Furnishings","5518.120000000000526","629.531999999999886","0.1141","34"
"Maxell iVDR EX 500GB Cartridge","Technology","Accessories","5510.80000000000064","2369.64400000000068","0.4300","20"
"VTech DS6151","Technology","Phones","5493.16399999999988","957.524000000000316","0.1743","50"
"Nortel Meridian M5316 Digital phone","Technology","Phones","5489.73999999999978","507.542","0.0925","26"
"O'Sullivan 4-Shelf Bookcase in Odessa Pine","Furniture","Bookcases","5480.394000000000076","-1950.197600000000226","-0.3558","74"
"Carina Mini System Audio Rack, Model AR050B","Office Supplies","Storage","5460.216","-137.615199999999662","-0.0252","52"
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","Office Supplies","Appliances","5412.16000000000020","1157.369600000000286","0.2138","28"
"Hon Mobius Operator's Chair","Furniture","Chairs","5411.55999999999988","998.67880000000004","0.1845","46"
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box","Furniture","Furnishings","5398.112000000000250","2520.441999999999976","0.4669","58"
